#{"t_start": 1781366624.4062605, "env_id": "None"}
r,l,t
-27.669998,200,1050.07023
86.32973,587,1050.236236
-16.110012,250,1084.264534
-16.300007,127,1084.434244
10.930023,270,1084.494381
-15.360018,250,1084.547414
-14.010016,250,1084.773685
-3.380003,85,1084.845555
12.930206,320,1084.907521
-9.11982,302,1085.111502
-29.279999,54,1085.144606
10.230038,294,1085.293276
10.050079,246,1085.877477
19.340118,409,1086.044475
-3.5199986,166,1086.054294
24.570175,370,1086.188049
-14.210024,250,1086.250617
9.980289,410,1114.178304
67.2299,550,1114.3629
-33.380016,234,1114.424587
24.16018,398,1114.444645
-27.660002,200,1114.597394
12.040127,320,1115.049272
37.070244,361,1115.26059
-15.950006,162,1115.412784
-29.74,200,1115.426557
-27.74,200,1115.446161
38.43994,406,1115.718869
-28.279999,156,1116.552376
51.32006,444,1116.794223
-15.120019,250,1145.456242
-1.4399891,288,1145.492726
63.90998,342,1145.542536
11.000095,264,1145.777294
-48.109978,170,1145.827502
8.400009,149,1145.870526
-28.89,200,1146.381658
66.35984,520,1146.730018
189.12997,779,1146.949587
-4.2799854,126,1146.984678
62.279976,264,1147.036775
10.900215,275,1147.199807
-28.57,108,1147.271186
-1.9199467,300,1147.281877
23.940315,381,1147.363912
90.29998,402,1147.415482
22.830128,216,1180.168087
-27.890001,200,1180.297638
-1.3600025,294,1180.42579
-1.4099846,300,1180.484791
-17.200008,66,1180.591582
-14.480025,250,1180.636578
-29.8,6,1180.664724
-1.6999683,300,1180.67902
-2.4300003,162,1180.882963
66.04001,442,1181.362105
9.400085,180,1181.46387
-1.970026,156,1181.57874
9.680058,310,1182.004239
120.020325,560,1182.004239
37.479935,292,1182.009675
11.420101,350,1210.011307
-29.9,6,1210.04001
58.00013,457,1210.457244
10.280029,232,1210.493364
-2.089985,222,1210.569535
-29.56,42,1210.701644
29.570286,312,1210.782316
10.400101,244,1211.11715
-14.980011,250,1211.143034
-0.909935,300,1211.479924
-1.410017,260,1211.702927
-14.4800205,250,1211.75871
56.189987,285,1237.335612
15.18021,327,1237.47457
37.210175,419,1237.501476
37.8702,410,1237.528239
161.73006,590,1237.544359
-2.0599804,270,1237.55649
-20.340008,270,1237.786211
-3.2900047,120,1237.795501
-28.29,102,1237.944874
-16.150013,108,1237.953876
17.92022,350,1238.072796
-17.170002,84,1238.155079
10.130001,192,1238.293203
9.570038,192,1238.359922
-67.52,140,1238.571851
-2.9199753,216,1238.7276
-14.960016,250,1239.069997
19.110043,381,1239.121227
-14.280035,222,1239.376965
-0.6899891,261,1239.492771
-7.6998863,320,1277.448459
-34.43,220,1277.518422
-16.400007,48,1277.632398
77.34,426,1277.999134
-38.009995,149,1278.108191
-28.91,200,1278.183115
-2.1799355,241,1278.581041
26.080265,358,1278.664185
37.09015,450,1278.705351
36.700157,395,1278.802448
-3.37994,266,1278.85071
-2.7899857,110,1279.274804
-14.550032,224,1279.331629
20.200027,136,1279.331629
-1.8699722,162,1279.676168
13.670082,327,1279.776438
11.640102,315,1313.486388
-15.130015,250,1313.563079
91.68978,517,1313.567079
8.730114,296,1313.740122
-12.999983,250,1313.831401
-29.8,24,1313.926598
30.270233,370,1313.999217
