#{"t_start": 1781285167.7912755, "env_id": "None"}
r,l,t
-29.81,17,7.646074
-29.44,50,7.647073
-4.439993,39,7.673401
-29.87,18,7.674407
-30.05,21,7.684914
-28.75,40,7.693894
-30.07,8,7.701347
-29.85,11,7.716793
-15.8300085,167,7.729856
-28.55,74,7.753421
-29.88,24,7.773802
-29.18,59,7.779813
-16.950003,58,7.779813
-29.43,132,7.789456
-27.91,161,7.797641
-29.94,20,7.821163
-28.48,80,7.843683
-29.39,45,7.843683
-29.41,27,7.847753
-49.399994,42,7.876349
-29.56,17,7.879673
-29.93,4,7.884113
-17.5,22,7.896379
-29.96,7,7.89795
-29.76,26,7.947999
-28.349998,94,7.965641
-28.47,59,7.965641
-16.800001,72,7.965641
-27.439999,128,7.97096
-29.76,17,7.984496
-17.15,50,7.998989
-29.78,14,8.004363
-5.6200027,25,8.018186
-28.52,128,8.039863
-17.34,28,8.039863
-29.8,11,8.039863
-17.400002,27,8.101372
-29.32,33,8.115627
-16.560001,78,8.138637
-27.88,124,8.153174
-29.58,29,8.183308
-16.880001,85,8.188826
-30.01,2,8.19218
-16.710003,66,8.194531
-30.14,10,8.210112
-29.43,29,8.217761
-16.99,43,8.236656
-16.000004,122,8.237653
-27.49,106,8.237653
-29.44,33,8.260563
-29.39,50,8.301984
-17.900002,32,8.303565
-29.71,32,8.303565
-30.03,4,8.311583
-16.540003,101,8.326878
-29.84,20,8.343276
-29.89,5,8.352797
-29.109999,79,8.375443
-29.84,35,8.379633
-16.970001,79,8.402853
-29.67,25,8.40585
-17.760002,18,8.412456
-28.8,96,8.420824
-17.260006,53,8.43586
-29.26,74,8.463584
-17.45,32,8.465362
-29.45,31,8.479321
-28.73,57,8.489866
-17.490002,46,8.489866
-28.12,120,8.505486
-29.82,28,8.522721
-29.72,28,8.535322
-17.940002,21,8.535322
-29.53,54,8.543515
-29.48,70,8.552081
-17.43,25,8.554159
-29.97,3,8.560671
-3.6399975,55,8.575123
-29.8,24,8.58653
-29.85,6,8.596192
-17.130001,45,8.665868
-28.47,73,8.672368
-29.27,58,8.683589
-29.48,64,8.684725
-29.73,19,8.707903
-29.34,65,8.728619
-29.45,26,8.73831
-15.470003,120,8.73831
-29.93,19,8.747787
-28.72,109,8.760853
-29.94,20,8.771136
-29.05,116,8.784345
-29.95,21,8.784345
-30.07,3,8.78782
-29.34,55,8.798255
-28.98,59,8.799254
-30.01,2,8.805256
-30.02,3,8.811477
-17.220001,34,8.823884
-29.86,7,8.826389
-29.98,4,8.832388
-17.620003,19,8.840686
-29.77,38,8.858799
-49.25,47,8.86518
-30.08,4,8.865679
-29.66,17,8.866771
-30.01,2,8.875966
-29.76,17,8.878388
-17.170006,46,8.885966
-29.9,6,8.895494
9.050011,75,8.906365
-17.04,51,8.906365
-17.59,26,8.925136
-29.95,11,8.931132
-29.57,23,8.949509
-29.88,24,8.960319
-16.930002,46,8.995535
-4.4599934,79,9.005931
-17.060003,58,9.005931
-29.6,41,9.025756
-29.48,39,9.025756
-16.850006,71,9.029827
-29.78,9,9.029827
-29.55,31,9.039798
-30.02,8,9.051421
-29.67,23,9.051421
-29.99,15,9.075787
-29.77,18,9.096176
-17.5,32,9.108544
-29.17,68,9.114492
-29.22,43,9.130711
-29.81,25,9.163738
-28.94,55,9.165144
-17.11,38,9.176291
-29.69,27,9.211251
-29.42,35,9.212261
-28.57,81,9.22201
-17.44,26,9.251761
-29.34,40,9.276529
-16.490002,91,9.292719
-17.060003,68,9.29373
-30.14,10,9.301479
-17.250004,37,9.314337
-30.13,34,9.337785
-5.5600014,22,9.358483
-28.59,52,9.360483
-29.66,32,9.395078
-5.370001,24,9.405903
-29.7,24,9.42731
-29.18,49,9.483103
-17.77,24,9.48769
-29.23,74,9.494097
-16.590004,69,9.495096
-30.06,37,9.496531
-29.92,8,9.510001
-29.94,10,9.516954
-2.7299995,133,9.5196
-29.83,9,9.536552
-29.97,18,9.549817
-29.66,32,9.575054
-29.73,19,9.577563
-17.490002,41,9.612731
-28.74,39,9.615948
-1.8999977,162,9.63304
-17.990002,96,9.634043
-29.82,8,9.635041
-29.87,13,9.646923
-29.88,14,9.665531
-16.880005,70,9.665531
-29.54,20,9.698023
8.2200165,57,9.719373
-29.67,24,9.728412
-17.34,36,9.779995
-28.52,84,9.781019
-17.7,27,9.791238
-29.38,74,9.81326
-29.3,66,9.828537
-29.52,18,9.829529
-17.470005,49,9.833798
-29.87,8,9.853415
-29.67,28,9.86261
-17.65,12,9.882439
-29.06,47,9.900412
-29.98,19,9.910322
-27.72,110,9.910322
-17.25,42,9.918838
-17.119999,63,9.981333
-17.369999,39,10.001164
-14.260015,194,10.01869
-29.85,16,10.01869
-30.07,13,10.039133
-29.47,53,10.040571
-16.720001,65,10.051026
-18.09,91,10.059311
-29.68,14,10.063448
-29.82,23,10.092308
-5.4000034,25,10.10018
-37.2,78,10.111404
-16.340004,91,10.130195
-17.369999,34,10.132201
-17.830002,15,10.168853
-29.7,16,10.211742
-29.19,39,10.214975
-28.8,63,10.22249
-17.760002,66,10.224492
-29.89,10,10.240598
-17.230003,60,10.257094
-17.650002,17,10.268022
-17.89,6,10.274569
-29.66,27,10.283569
-28.710001,63,10.288664
-29.53,28,10.294664
-29.85,16,10.310729
-16.240002,116,10.312724
-29.99,15,10.312724
-29.66,22,10.339094
-29.54,30,10.355132
-29.84,20,10.359132
-28.939999,110,10.36803
-29.97,8,10.380488
-28.72,69,10.404489
-17.75,22,10.415492
-16.62,74,10.439544
-28.99,63,10.453477
-29.369999,23,10.458482
-29.24,45,10.460483
-17.240002,41,10.477636
-5.9100018,79,10.495832
-29.49,25,10.510261
-28.83,48,10.52045
-17.6,22,10.545961
-29.96,17,10.549542
-29.97,8,10.56773
-30.03,4,10.577731
-17.37,44,10.577731
-16.84,66,10.622904
-28.52,83,10.65423
-17.410004,38,10.671253
-29.94,23,10.675346
-28.449999,57,10.696906
-17.240002,51,10.706426
-17.700003,22,10.712188
-30.0,1,10.715379
-27.789999,162,10.735469
-17.580002,25,10.739298
-29.55,21,10.756154
-30.09,5,10.756154
-16.170002,129,10.761106
-29.86,17,10.761106
-15.610014,91,10.761106
-29.44,24,10.775742
-29.92,8,10.783055
-29.65,16,10.822016
-17.710003,23,10.824299
-29.16,57,10.833896
-29.45,21,10.833896
-29.99,5,10.844936
-29.6,31,10.844936
-29.96,17,10.865772
-17.620003,39,10.946153
-29.89,10,10.968918
-17.580002,55,10.970568
-29.95,6,10.992145
-30.01,2,10.994143
-17.720001,49,10.995709
-16.810001,63,11.013501
-17.87,14,11.017139
-29.86,17,11.040647
-16.330002,120,11.078822
-29.58,24,11.078822
-29.89,25,11.083354
-29.58,44,11.116509
-29.52,28,11.116509
-29.98,4,11.129673
-29.89,20,11.138304
-29.65,21,11.139498
-16.75,143,11.151866
-29.87,28,11.162811
-27.349998,132,11.183322
-5.700001,18,11.186839
-10.369999,166,11.186839
-17.869999,9,11.207416
-29.71,42,11.249797
-17.260002,38,11.252803
-29.46,32,11.268796
-29.14,55,11.289906
-17.57,19,11.301057
-17.17,44,11.303124
-16.430008,67,11.303124
-17.020008,56,11.350096
-17.610004,38,11.359593
-28.89,80,11.368872
-5.010006,48,11.369872
-30.0,6,11.375883
-17.37,39,11.381282
-29.85,6,11.388817
-29.75,11,11.405927
-17.630001,15,11.405927
-17.560001,23,11.424225
-17.330006,55,11.432225
-17.27,24,11.460498
-17.57,24,11.460498
8.420052,72,11.469885
-16.740002,51,11.471218
-16.790003,61,11.521328
-29.5,36,11.54899
-28.95,45,11.56016
-16.530006,45,11.56016
-29.69,25,11.58538
-29.92,13,11.59425
-16.180008,77,11.606463
-30.0,1,11.607474
-29.86,7,11.607474
9.710037,139,11.623206
-29.65,26,11.643449
-29.3,41,11.644441
-28.38,88,11.667591
-29.85,11,11.66959
-3.189991,109,11.66959
-29.58,34,11.725389
-29.43,49,11.725389
-28.88,69,11.725389
-29.8,26,11.729676
-17.500002,52,11.730677
-16.690002,51,11.746677
-17.620003,19,11.768772
-17.330002,30,11.799683
-16.780006,63,11.824846
-29.32,43,11.826846
-17.470001,24,11.826846
-29.89,15,11.835968
-30.02,3,11.836962
-29.42,43,11.836962
-15.45,93,11.889907
-5.010006,69,11.908256
-17.240002,31,11.964192
-29.59,25,11.964192
-16.59,106,11.981678
-17.520006,64,11.986492
-17.810001,13,11.99814
-16.67,84,12.032211
-5.3999977,28,12.065279
-15.87,105,12.080699
-17.010002,108,12.092359
-16.950003,107,12.102282
-17.15,58,12.132347
-29.99,5,12.149562
-17.18,45,12.160316
-29.029999,72,12.160316
-17.529999,30,12.182899
-4.289999,51,12.215092
-5.419998,45,12.225182
-17.380001,26,12.2448
-4.8799973,56,12.301654
-30.0,1,12.30695
-17.53,40,12.318008
-29.63,64,12.320019
-16.730003,64,12.328915
-3.4499931,106,12.373058
-16.580006,145,12.377576
-29.38,29,12.406332
-16.960001,58,12.407334
-16.010008,69,12.413121
-29.37,28,12.449888
-29.74,25,12.474902
-17.29,26,12.482602
-30.12,13,12.482602
-3.5300026,58,12.49348
-17.220001,44,12.496313
-17.29,66,12.503312
-30.0,1,12.506837
-29.89,5,12.514878
-29.24,45,12.52459
-17.77,14,12.534331
-29.85,26,12.554617
-29.75,16,12.56272
-17.46,33,12.56435
-29.64,30,12.589761
-29.84,10,12.593555
-29.05,45,12.603244
-15.97,111,12.613935
-5.1699963,65,12.646847
-17.53,20,12.646847
-29.57,18,12.663031
-17.630001,20,12.69698
-29.039999,55,12.713454
-29.65,21,12.713454
-28.199999,67,12.717774
-29.96,7,12.740386
-28.89,59,12.754014
-29.58,24,12.774757
-30.01,2,12.783151
-29.02,63,12.783151
-17.76,13,12.795444
-3.6299953,62,12.832782
-17.390003,41,12.844784
-29.39,30,12.86771
-17.09,51,12.87572
-16.369999,114,12.887253
-30.01,2,12.890282
-5.5599995,29,12.914331
-17.860003,18,12.924504
-17.35,52,12.933721
-29.57,23,12.933721
-29.49,70,12.986449
-5.220003,55,12.987625
-29.34,30,12.999483
-17.630003,30,13.011408
-29.72,58,13.037986
-17.75,12,13.037986
-16.87001,51,13.041679
-17.69,21,13.041679
-17.690002,21,13.042802
-29.98,4,13.051976
-15.920001,122,13.076206
-29.98,14,13.076206
-29.7,16,13.085082
-16.780006,51,13.170746
-16.76001,53,13.170746
-17.34,41,13.177269
-28.329998,110,13.205748
-29.51,52,13.212126
-29.7,16,13.212126
-16.090012,82,13.252832
-17.240002,76,13.262791
-30.02,3,13.269058
-28.389997,113,13.281887
-17.230003,45,13.281887
-29.87,8,13.302287
-17.630001,20,13.303331
-29.27,38,13.303331
-29.65,41,13.311964
-5.0,68,13.341084
-30.1,16,13.346608
-29.55,31,13.360685
-17.740002,31,13.415707
-16.550007,96,13.438705
-28.72,79,13.455705
-29.65,16,13.474538
-31.11,77,13.47654
-29.89,5,13.491295
