#{"t_start": 1781293175.7816188, "env_id": "None"}
r,l,t
62.36989,349,905.174599
-17.440014,246,905.21924
60.110138,520,905.412523
-1.4300232,300,905.571589
63.989937,473,905.615425
106.37999,517,905.797448
-35.060013,183,905.829179
-21.870014,250,927.732895
-15.6600065,250,927.888287
17.529999,392,927.974749
-2.619976,270,927.992024
-16.460016,240,928.039431
26.0602,400,928.049407
-17.330002,30,928.080035
-14.960028,250,928.100094
-16.960003,48,928.20484
65.22008,550,928.220958
-33.390003,200,928.397676
-17.45,32,928.518546
-26.68,200,928.57384
1.6000805,150,928.628207
-28.369999,200,928.76738
-29.8,200,928.968825
-30.39,200,928.992297
-2.0500183,288,929.194331
-11.92996,320,929.225852
-4.039976,156,959.739291
14.450111,221,959.856483
-29.42,48,960.034589
-29.869999,138,960.063379
0.6799984,300,960.098442
11.850143,350,960.220116
-28.2,200,960.254262
-13.740025,250,960.254262
-2.109991,266,960.738135
9.670052,144,960.815554
24.3102,400,960.859527
-13.53002,245,960.975874
-4.1900387,295,961.255199
-18.380001,90,961.347974
55.47001,330,961.361712
-4.780012,186,961.519565
34.63025,426,990.045386
92.319885,448,990.098361
-13.830009,250,990.445269
37.720093,420,990.605443
-6.399994,270,990.674181
9.690075,350,990.759967
35.580208,348,990.847995
-39.570007,220,991.016315
91.30992,547,991.202832
11.240067,350,991.547578
-33.660004,200,991.577678
-35.77002,189,991.727314
-10.490019,186,1016.622589
24.770233,367,1016.636141
-19.460009,141,1016.742805
37.160072,380,1016.977942
51.259956,470,1017.203833
-29.17,200,1017.426564
26.170216,361,1017.618084
-30.0,6,1017.642312
65.630066,498,1017.698497
10.200123,350,1017.707918
24.790253,331,1018.110383
35.600006,420,1018.367002
10.590145,350,1018.44256
-14.330026,250,1043.414456
17.900196,377,1043.421698
-16.790005,66,1043.663338
10.050201,348,1043.774841
-28.689999,180,1043.795036
-32.690002,200,1043.802807
45.49006,378,1044.295648
42.350067,500,1044.363482
8.1301155,150,1044.452241
-15.340012,250,1044.733638
13.110161,331,1044.788833
62.12008,308,1045.116043
-33.09,200,1045.190288
164.65033,773,1045.326832
-18.020035,250,1045.474299
39.020172,405,1070.631758
33.37015,311,1071.118355
21.260075,248,1071.232621
24.35028,370,1071.459632
-31.62,200,1071.490179
12.5901985,350,1071.770346
47.480156,390,1072.039375
108.5199,596,1072.059316
34.830086,254,1072.185004
38.74993,410,1072.228656
24.370144,252,1072.265361
35.51008,223,1072.335873
7.150032,79,1072.639562
-14.880004,215,1095.373427
-29.61,162,1095.409099
23.310226,400,1095.86292
48.660202,500,1095.993938
-18.880009,250,1096.140224
25.080086,363,1096.154256
39.26024,426,1096.33289
19.430023,162,1096.426673
10.240128,297,1096.534354
63.57016,334,1096.638948
146.9599,552,1096.66855
49.55996,246,1096.877565
-17.660004,61,1097.11974
11.570122,204,1119.521298
-1.440012,300,1119.544047
63.219994,264,1119.61355
21.620209,400,1119.738274
52.150078,429,1119.841761
51.420006,436,1120.153144
8.0000305,126,1120.200218
22.120083,216,1120.425685
-22.140017,250,1120.486928
104.070114,366,1120.568056
5.110073,312,1120.707806
9.200069,150,1120.729699
105.81006,540,1120.770943
-15.76002,155,1121.053687
-30.0,96,1121.101037
-30.98,144,1145.727029
-17.36,43,1145.870815
-0.6600151,259,1146.004873
7.62006,172,1146.181229
58.43009,539,1146.328344
44.91024,402,1146.427107
118.76991,478,1146.492431
90.809906,426,1146.810727
-7.1600075,250,1147.095613
11.750141,346,1147.137177
-15.280026,216,1147.179807
-14.520029,250,1147.21527
21.670013,131,1147.236761
-16.560009,78,1147.484617
-4.150011,116,1169.896467
15.770134,420,1169.922506
-3.5899963,102,1169.96839
80.22014,550,1169.98296
-17.340004,36,1170.052525
76.35003,425,1170.399338
-51.62999,170,1170.496093
-29.36,72,1170.7066
-4.6799965,66,1170.779985
26.480202,382,1170.999038
143.79002,337,1171.224463
35.970055,344,1171.336824
-16.330011,60,1171.459539
37.29014,419,1171.631159
8.240013,108,1171.761497
64.73013,446,1171.862496
-10.470011,300,1193.261802
-3.639986,156,1193.766485
212.0499,758,1193.982387
22.330166,274,1194.14155
