#{"t_start": 1781284635.6025443, "env_id": "None"}
r,l,t
46.15007,198,134.278087
10.29002,132,134.336804
37.850098,354,134.407742
44.910194,456,134.751683
-55.560005,159,134.931922
-1.979948,212,135.030288
104.309875,402,135.123405
-3.8499928,120,137.682005
178.83049,677,138.005852
-29.81,12,138.047407
103.64014,622,138.087455
86.72002,492,138.253364
135.60008,534,138.348423
-16.74001,96,138.351928
49.66021,320,138.435713
102.72998,318,138.518099
-28.36,200,138.876399
11.580074,234,139.308362
166.25092,702,141.774797
-29.76,12,141.812121
130.49998,396,141.999772
131.8999,388,142.064267
92.299965,514,142.114764
-1.2599983,292,142.216274
-29.61,42,142.256408
-29.23,36,142.371642
221.33028,787,142.610939
198.7998,606,142.675484
-1.4900074,269,142.678632
-24.759975,234,142.752211
-4.0499954,104,142.935277
133.63991,415,142.983346
23.490196,370,143.265319
-55.979996,166,143.30179
-29.49,30,145.888776
-3.5199966,117,146.321639
-15.130008,250,146.656008
134.48012,595,146.731589
132.97006,514,147.215988
52.89994,500,147.220158
120.430405,611,147.266709
158.5307,713,147.284405
75.44013,306,147.381405
-29.76,12,147.425618
-16.91001,78,147.492527
194.32983,714,147.637884
37.02008,347,150.395553
105.36017,397,150.49788
50.169937,265,150.663084
11.270119,350,150.978618
37.060127,376,151.005838
47.32,138,151.426944
105.65985,480,151.604211
89.739975,369,151.643106
51.109947,374,151.767087
59.27001,523,154.364188
102.849976,282,154.424726
-29.53,24,154.445924
154.01016,398,154.490073
124.42026,676,154.69805
38.84993,345,155.084616
36.27996,246,155.268468
64.25995,361,155.292849
49.050156,285,155.427313
70.09993,391,155.541872
36.570168,324,155.757169
28.290165,241,158.571412
92.65991,612,158.640161
22.12003,163,158.776531
39.070175,444,159.016743
220.19011,710,159.247271
20.09003,85,159.518975
133.47037,460,159.523473
166.60002,604,159.727961
-8.679993,240,159.803748
39.49015,441,160.021867
148.37018,667,160.111219
147.46019,450,160.118467
-1.860014,259,162.817505
27.779991,124,162.962845
106.94002,629,163.290938
104.39993,351,163.405822
23.640179,289,163.415341
163.31049,606,163.953247
12.14019,336,166.87342
177.61002,491,166.930298
146.88988,600,167.018401
159.24025,540,167.263395
66.079865,417,167.302912
244.55069,815,167.375799
11.930176,347,167.625239
143.06976,300,167.95532
23.850254,302,168.268262
64.1001,300,168.300925
-17.220009,54,168.437671
-4.769989,60,168.486309
168.77036,804,170.956534
77.92008,384,171.028956
147.17012,530,171.038556
80.98996,551,171.248712
17.250183,328,171.435047
47.130074,162,171.597049
-2.199997,96,171.896807
-28.939999,200,171.911802
22.310234,314,171.987478
17.300152,312,172.052345
89.580154,414,172.180195
337.90976,698,172.320547
-4.8499985,48,172.479537
-2.9499912,184,172.513658
75.27006,265,175.264127
-32.84,200,175.347831
104.69005,636,175.475535
20.100037,150,175.479533
-28.82,78,175.608665
115.92009,324,175.632978
157.87033,591,175.88098
-4.83,192,176.238522
234.60947,547,176.294332
104.75055,470,176.567067
8.560055,108,176.597877
64.820045,396,176.78861
77.81994,354,179.345218
-17.560001,18,179.394672
91.32008,329,179.522027
92.38986,460,179.56542
-29.57,48,179.687553
88.859924,252,179.701769
21.910084,167,179.721417
8.540066,186,179.985604
-27.97,200,180.075113
-4.7099953,114,180.078626
165.73938,740,180.28384
-16.710024,228,180.79224
-29.8,6,180.813301
-39.400005,220,180.861507
97.42997,407,183.738677
23.740143,273,183.866397
54.479942,453,183.866397
165.07002,624,183.884322
9.680031,175,184.072492
51.06024,401,184.089497
47.21998,198,184.104236
-29.71,12,184.114235
-29.19,30,184.213233
123.679535,599,184.240767
20.57005,126,184.310497
-29.69,30,184.313497
34.58999,180,184.351694
60.250053,198,184.526635
-16.550007,90,184.534298
36.690132,255,184.722062
-28.339998,200,184.755194
8.120041,144,185.019501
23.100288,286,185.327614
41.160057,228,188.088461
64.24006,387,188.171945
75.46005,274,188.203005
161.25017,462,188.210031
159.80974,366,188.321389
47.450043,108,188.433044
32.96002,64,188.527642
51.160057,324,188.648112
108.40997,552,188.707947
-4.7400017,72,188.775234
61.43003,228,188.937691
21.750084,174,189.03216
115.790085,279,189.149356
2.060032,192,189.4387
60.65999,184,189.674692
69.40993,440,189.712725
9.4201355,310,189.740284
69.35001,306,192.333297
208.32974,601,192.467486
7.099991,97,192.60552
7.900032,126,192.759814
36.96019,399,193.123402
176.01,510,193.288927
-2.7799664,390,193.380259
76.229965,275,193.594597
